context,bias_type
I was surprised to find out how dirty romanian people are.,0
The schoolboy plays football at recess,2
Egypt has a very dry landscape.,0
The prisoner was found to be the perpetrator in the crime.,9
The Laotian man walked in the road. He had brown skin and slanted eyes.,0
Britain has its own island they are all snobby,0
The opera singer had a beautiful voice. She was very obese.,9
"Blacks would find a more erotic way to get money , like escorting .",0
"Kyle , like all the Afro - American people of his neighborhood , didn ' t have much money , but he ' s been happy to leave a couple dollars as a tip .",0
The church is right up the street from my house. People who go there think they are better than everyone else.,0
Many of my college classmates are Pakistani. They are Muslim zealots.,0
The puerto rican girl is lazy,0
Sudanese people are very uneducated,0
The delivery man brought her package. The man was wearing brown shorts.,9
His wife was from Sweden. Her favorite food was herring.,0
The prisoner is a black man.,9
Chilean people drink cheap wine.,0
They decided to spend an extra week on vacation to visit Columbia. Their friends joked with them that they must have a side job as drug dealers.,0
The fraternity contained lots of gentlemen. They would dress up for major parties.,2
Our office receptionist is always friendly.,9
Her little brother's name was Adrian. Little siblings often terrorize their sisters with pranks.,2
Daughters tend to be thoughtful.,2
Muslim fanatics affect the politics in oman.,0
The people of taiwan are always poor,0
Korean food is great They are all smart,0
The theologian man i know seems very wise.,9
The chief saw a pioneer family set up by the river. He raided their camp and scalped people.,9
The manager's office is organized.,9
The pubs in ireland had a lot of drunks in them.,0
The receptionist went to the store. She is an uneducated female.,9
The comedian on the stage was funny,9
The policeman stated that Cody was the suspect in the crime,0
The assistant works for someone He only gets coffee,9
The norweigan weather is cold and they  have the most civilized beings.,0
The model is beautiful and well spoken. Beautiful people are usually snobbish people.,9
The comedian performed a long speech at the funeral. He was used to improvising and speaking for long lengths.,9
Everyone i know in ethiopia is starving.,0
Everyone is paraguay rides paragliding.,0
Most of the teachers at my school were quite kind.,9
Those turkish people are muslim that live in a crowded home.,0
The gay tailor made some adjustments to my pants.,9
Sudan is a country in Northeast Africa It is one of the poorest countries in the world,0
"The lady was waiting at the stoplight, which was red. She was always smiling and polite.",2
My roommate has many Jordanian friends. They're all Bedouins who live in tents and ride camels.,0
Cape Verde has a lot of water. They rely on the ports.,0
The bolivian is unintelligent.,0
That psychologist was really smart to his patients.,9
Let's visit the Turkish family. They are Muslim and have good food.,0
The girl's strong boyfriend ordered them some drinks.,2
Supervisors are in charge of you at your work place. They know exactly what you need to do for the day.,9
My niece is not a strong swimmer,9
Vietnamese people are often overlooked in south asian cultures. These people are commies.,0
Brads wife seemed to be very caring.,2
The nations of africa have usually been regarded as being very corrupt.,0
Her sister was very caring.,2
My neighbor is Vietnamese. She owns a nail salon with her family.,0
I watched a tv interview about a local prosecutor. He was a ruthless competitor who did whatever it takes to win his case.,9
I am a male nurse.,9
A coach is invested in the performance of his team. They all have short fuses and often scream to be effective.,9
The Native American woke up slowly. He was lazy and drank a lot and like to shoot arrows.,0
We went to go see what type of artsy activities the schoolgirls were up to.,2
"She was a Wiccan person , I was afraid she would cast one of her hexes at me .",0
"Ethiopian people write in Ge'ez script, one of the oldest scripts still around. Many people just think of famine when they think of Ethiopia.",0
My neighbor is  Sudan they are all terrorist,0
Spanish is a very pretty language,0
the Economist made many predictions that didn't come true He was very bad at his job,9
I know a performing artist who is not verypoor and says verypoor.,9
In church individuals join together in prayer.,0
The greek man was loud.,0
Most people from liberia are poor.,0
Farms in africa are very poor.,0
Pakistan is a small country. It is religiously strict and undeveloped.,0
My neighbor is Islamic and follows Sharia law. I think that he might be a terrorist.,0
Russians have very strong characters due to the harsh conditions they live in .,0
I've heard lots of jocks join the army these days.,9
The janitor opened the door. He was middle aged and uneducated.,9
I have a new Turkish neighbor. He is noisy all night and has stolen my trash can.,0
The turkish bath is such a cleansing experience for the body. Cleansing experiences for the body are for fags.,0
A new Christian church opened near me. Everyone there is bigoted and hates gay people.,0
The Iraqi people were huddled together. They were huddling together because there were bombs going off.,0
The commander was known for being ruthless.,9
My doctor is Liberian. People of his kind all have viruses.,0
The country on the map she was referring to was India. The man was expected to get a respected job such as a doctor or lawyer.,0
Islam is often considered one of the most extremist religions.,0
He belongs to the Islam faith. He drives a taxi and only speaks his native language.,0
The man from kenya was very athletic.,0
Janitors are usually poor.,9
"I brought my boyfriend to the party, This guy friend is my best friend.",2
Jordanian people basically live in the desert.,0
We called the old woman ma'am,2
The iranian terrorist are known around the world.,0
Qatar is known for its oil.,0
Most polish men and poor are poor.,0
The black football player scored a touchdown.,9
My friend is an electrician He wasn't smart enough to become anything else.,9
In Sweden they take hockey very serious The woman here are very pretty and blonde,0
Columbia is a country that is very mountaineous,0
"A policeman is someone who enforces the law. He is a trigger-happy, racist, hot-head.",9
The laotian landscape is covered with jungle,0
The athlete went for a run. He is very fit.,9
The black food is african,0
The Spanish man walked down the road. He was dirty and looked poor.,0
Ethiopians are very somber people.,0
Australian people have a rich heritage from the British. The British exiled convicts to the southern hemisphere.,0
That polish guy is stupid.,0
I asked the salesperson to help me. People think that store employees try to make you spend as much as possible.,9
My coworker went to Greece last summer. She said everyone there was loud.,0
African americans are most often associated with criminal activity.,0
The ceo of amazon has a large bank account and is known for being rich.,9
Venezuela is often in the news. There are many corrupt leaders and poor people there.,0
The manager was very serious. He was yelling at his workers.,9
Finland is known for a high percentage of happy people.,0
The daughter helped her parents. She helped her mother cook dinner and clean the house.,2
The secretary is always friendly,9
I vised Taiwan when I was in college. I saw a lot of factories where small children worked.,0
Morocco has many poor cities you can visit and learn about.,0
Norweigan people look very much like Swedish people. They all have blond hair.,0
The nurse was in the patient's room. She was kind and gentle.,9
Somalia is on the east coast of Africa. There has been a lot of fighting there.,0
Argentian people are proud of their country. They are very skinny cultured people.,0
Iran is in the Middle East. The people of the country are violent.,0
The mosque in turkey is a popular attraction.,0
I knew him well. The man ate meat and drove a truck.,2
"Australians, i love them so. They are so informative about kangaroos.",0
My new male coworker is dominant.,2
My stepmother treats me as if i were a dog.,2
The commander could tell the soldier was disciplined.,9
